Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CMR,Cameroon,,,,37.85939026,37.89030838,39.942379,41.71191025,43.09173965,52.67815018,44.96955872,44.52426147,45.00799179,44.51950836,45.17697906,47.09067154,48.78876114,49.36389923,51.10688019,49.86164856,,54.5164299,51.12942886,,,,,,,,44.63774872,46.67300034,,,52.41371918,53.62779999,,47.04850006,49.4822998,64.89874268,64.77655792,66.53269958,65.24880219,69.43608093,,68.92054749,70.24404907,69.17323303,64.43132782,60.90401077,62.00592041,62.96552277,65.14958191,66.20838928,68.16094208
COD,"Congo, Dem. Rep.",,21.32616997,23.24691963,,,,34.22750092,37.49948883,40.79772186,,42.09429169,45.07178879,46.57218933,49.86402893,53.62543869,,,,35.51295853,,,37.93606186,35.16450119,44.35491943,36.80524063,,,,,30.6467495,,,32.33295822,,,,,39.93909836,44.63748169,47.90740967,51.76055145,52.03203964,57.43621063,59.70970154,58.99211502,67.47125244,,,,,74.74075317,79.18981934,,74.14520264
COG,"Congo, Rep.",,,45.28789139,53.60923004,43.65398026,52.74370956,56.54983902,58.72943115,60.16051102,66.51019287,68.58512115,69.36446381,69.93805695,68.41960144,70.68080902,70.80787659,72.22424316,72.93625641,72.81468201,67.12876892,59.48934937,51.34616852,63.48368073,63.2285881,53.75220108,,47.79161835,,,30.49501038,,53.71718979,55.87585831,51.74021149,73.24034882,64.77454376,69.61715698,69.71494293,65.37844086,64.5377121,65.7303772,73.91236115,76.59117889,,,74.39328766,,,66.02635193,,,,,71.71734619
COL,Colombia,37.24958038,55.79848099,57.09886169,60.84383011,62.06991959,,,,,,,,76.68477631,79.74241638,79.87490845,75.35093689,73.990448,78.36869049,77.63275909,76.83387756,88.95379639,79.06764984,90.96819305,88.75218964,87.12763977,90.93031311,91.77261353,,97.25240326,98.86599731,101.6422577,,98.6187973,,105.7508087,108.8201675,114.7026978,116.7642593,116.2831573,121.8910904,121.2884064,118.8166809,113.0773163,102.9589615,102.1743164,101.969101,102.6967773,106.4834595,105.1900635,103.1868591,99.61083984,98.27411652,96.75051117,
COM,Comoros,,,,,,,,,,,,,,,,,49.86790848,43.57662964,,,,,38.2915802,,,,,,,44.7578392,,,52.13563156,51.32720184,57.13381958,,,57.41603851,60.05892944,,,,,77.36553192,84.20927429,,,81.8561554,,,,,,
CPV,Cabo Verde,,,,,13.70398998,15.47315025,,16.42074966,13.99254036,14.99195004,14.50520039,23.9115696,22.43457985,18.25469971,27.57276917,27.71414948,32.02376175,35.5812912,40.55268097,,50.80627823,,,,62.12995911,,,,96.99395752,,103.9936905,98.48245239,99.22628021,101.0539627,96.29918671,84.22855377,95.45384216,90.49520874,98.50572968,93.35170746,95.71504211,91.82267761,92.20217133,89.43517303,91.64591217,95.67308044,89.83731842,84.84562683,84.18605042,92.41404724,85.19568634,87.14806366,,
CRI,Costa Rica,76.60012817,77.65547943,87.53717804,90.9197464,89.57054901,89.32398987,83.73349762,91.37259674,88.57936096,85.11721802,86.84707642,88.27111816,88.09317017,,,77.2915802,78.01599121,75.89248657,76.71399689,76.46009064,,79.98641205,82.5402298,84.08307648,82.98587799,81.45410156,84.0120697,,,86.2701416,92.09380341,92.68778229,96.66475677,,96.45816803,95.90795135,91.45536804,93.42150879,96.40991974,99.1332016,99.66850281,99.85587311,96.97009277,96.06230927,99.69017792,95.10865021,95.30455017,95.48803711,96.12445831,96.91593933,97.41429901,98.40249634,100.887619,
CSS,Caribbean small states,,,,,,94.15551758,93.62303925,95.53119659,95.11475372,96.01516724,93.73828125,95.75994873,97.21118164,95.9890213,95.18286896,92.1355896,92.58586884,93.47989655,95.02420044,95.3964386,95.03469086,94.01728821,93.21292114,91.89659882,90.65071869,89.33016968,89.8635025,88.89060974,89.80341339,90.64807892,89.67945862,85.24994659,88.31804657,86.7932663,88.36711884,90.09256744,90.6378479,90.1279068,89.68447113,89.99382019,90.63652039,92.18003845,99.13784027,95.74204254,93.80269623,92.56218719,91.13693237,91.10675049,88.97775269,90.80763245,86.41233826,87.69458008,87.85501099,87.62690735
CUB,Cuba,,63.04294968,60.35089874,,,,,,,,,,,,,,,,,,,,,,,,,,,99.23091888,99.03157806,97.08586884,99.95052338,97.06616211,95.84986877,96.61296844,96.4385376,97.90550995,92.66890717,97.92858887,96.35389709,95.29415131,92.38722992,91.75026703,96.48267365,96.27954865,95.52271271,96.27646637,91.51267242,91.3215332,94.82398987,97.16995239,93.38551331,93.2537384
CUW,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
